Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
116,K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
117,Juanes,2/14/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
118,Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Rain,53,8 to 12 mph,S
119,Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
120,Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,,,Rain,53,8 to 12 mph,S
121,Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
122,The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
123,Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
124,Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
125,Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
126,Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
127,Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
